pair_index,mic_a,mic_b,dx_m,dy_m,baseline_mm
0,M10,M14,0.026500000,0.055500000,61.5020
1,M12,M16,-0.054500000,0.023000000,59.1545
2,M11,M15,-0.021500000,0.052500000,56.7318
3,M09,M13,0.050500000,0.022000000,55.0840
4,M09,M14,0.039000000,0.038500000,54.8019
5,M10,M13,0.038000000,0.039000000,54.4518
6,M10,M15,0.002500000,0.054000000,54.0578
7,M11,M14,0.002500000,0.054000000,54.0578
8,M11,M16,-0.038000000,0.038000000,53.7401
9,M12,M15,-0.038000000,0.037500000,53.3877
10,M09,M12,0.053000000,-0.000500000,53.0024
11,M13,M16,-0.052000000,0.000500000,52.0024
12,M03,M14,0.021700000,0.043200000,48.3439
13,M07,M10,-0.021300000,-0.042300000,47.3601
14,M02,M14,0.029300000,0.036600000,46.8834
15,M05,M16,-0.042300000,0.019100000,46.4123
16,M04,M14,0.012700000,0.043700000,45.5080
17,M02,M13,0.040800000,0.020100000,45.4824
18,M08,M10,-0.011500000,-0.042900000,44.4146
19,M06,M16,-0.042600000,0.011200000,44.0477
20,M10,M12,0.040500000,0.016500000,43.7321
21,M04,M15,-0.011300000,0.042200000,43.6867
22,M01,M12,0.042500000,-0.010000000,43.6606
23,M14,M16,-0.040500000,-0.016000000,43.5460
24,M02,M12,0.043300000,-0.002400000,43.3665
25,M08,M11,0.012500000,-0.041400000,43.2459
26,M06,M09,-0.041100000,-0.011300000,42.6251
27,M03,M13,0.033200000,0.026700000,42.6043
28,M05,M15,-0.025800000,0.033600000,42.3627
29,M07,M09,-0.033800000,-0.025300000,42.2200
30,M01,M13,0.040000000,0.012500000,41.9076
31,M10,M16,-0.014000000,0.039500000,41.9076
32,M03,M15,-0.002300000,0.041700000,41.7634
33,M12,M14,-0.014000000,0.039000000,41.4367
34,M05,M09,-0.040800000,-0.003400000,40.9414
35,M07,M11,0.002700000,-0.040800000,40.8892
36,M01,M14,0.028500000,0.029000000,40.6602
37,M06,M10,-0.028600000,-0.028300000,40.2349
38,M11,M13,0.014000000,0.037500000,40.0281
39,M09,M15,0.015000000,0.037000000,39.9249
40,M09,M11,0.036500000,-0.015500000,39.6548
41,M04,M16,-0.027800000,0.027700000,39.2445
42,M08,M12,0.029000000,-0.026400000,39.2168
43,M13,M15,-0.035500000,0.015000000,38.5389
44,M06,M15,-0.026100000,0.025700000,36.6292
45,M04,M13,0.024200000,0.027200000,36.4071
46,M01,M11,0.026000000,-0.025000000,36.0694
47,M03,M12,0.035700000,0.004200000,35.9462
48,M02,M15,0.005300000,0.035100000,35.4979
49,M07,M16,-0.035300000,-0.002800000,35.4109
50,M08,M09,-0.024000000,-0.025900000,35.3102
51,M05,M14,-0.001800000,0.035100000,35.1461
52,M05,M10,-0.028300000,-0.020400000,34.8862
53,M03,M07,0.016500000,0.030000000,34.2381
54,M02,M07,0.024100000,0.023400000,33.5912
55,M03,M16,-0.018800000,0.027200000,33.0648
56,M02,M06,0.031400000,0.009400000,32.7768
57,M07,M12,0.019200000,-0.025800000,32.1602
58,M02,M11,0.026800000,-0.017400000,31.9531
59,M04,M07,0.007500000,0.030500000,31.4086
60,M03,M08,0.006700000,0.030600000,31.3249
61,M04,M08,-0.002300000,0.031100000,31.1849
62,M02,M05,0.031100000,0.001500000,31.1362
63,M01,M05,0.030300000,-0.006100000,30.9079
64,M01,M06,0.030600000,0.001800000,30.6529
65,M03,M06,0.023800000,0.016000000,28.6782
66,M01,M07,0.023300000,0.015800000,28.1519
67,M05,M08,-0.016800000,0.022500000,28.0801
68,M02,M08,0.014300000,0.024000000,27.9373
69,M01,M15,0.004500000,0.027500000,27.8657
70,M06,M14,-0.002100000,0.027200000,27.2809
71,M06,M11,-0.004600000,-0.026800000,27.1919
72,M04,M12,0.026700000,0.004700000,27.1105
73,M04,M09,-0.026300000,0.005200000,26.8091
74,M08,M13,0.026500000,-0.003900000,26.7854
75,M01,M10,0.002000000,-0.026500000,26.5754
76,M08,M16,-0.025500000,-0.003400000,25.7257
77,M03,M05,0.023500000,0.008100000,24.8568
78,M10,M11,0.024000000,0.001500000,24.0468
79,M14,M15,-0.024000000,-0.001500000,24.0468
80,M02,M16,-0.011200000,0.020600000,23.4478
81,M05,M07,-0.007000000,0.021900000,22.9915
82,M12,M13,-0.002500000,0.022500000,22.6385
83,M09,M16,-0.001500000,0.022500000,22.5499
84,M06,M08,-0.017100000,0.014600000,22.4849
85,M11,M12,0.016500000,0.015000000,22.2991
86,M04,M06,0.014800000,0.016500000,22.1651
87,M07,M15,-0.018800000,0.011700000,22.1434
88,M03,M11,0.019200000,-0.010800000,22.0291
89,M15,M16,-0.016500000,-0.014500000,21.9659
90,M01,M04,0.015800000,-0.014700000,21.5808
91,M01,M08,0.013500000,0.016400000,21.2417
92,M09,M10,0.012500000,-0.017000000,21.1009
93,M05,M13,0.009700000,0.018600000,20.9774
94,M13,M14,-0.011500000,0.016500000,20.1122
95,M08,M14,0.015000000,0.012600000,19.5898
96,M05,M11,-0.004300000,-0.018900000,19.3830
97,M02,M10,0.002800000,-0.018900000,19.1063
98,M04,M10,-0.013800000,-0.011800000,18.1571
99,M02,M04,0.016600000,-0.007100000,18.0546
100,M03,M09,-0.017300000,0.004700000,17.9271
101,M01,M16,-0.012000000,0.013000000,17.6918
102,M07,M13,0.016700000,-0.003300000,17.0229
103,M04,M05,0.014500000,0.008600000,16.8585
104,M06,M12,0.011900000,-0.011800000,16.7586
105,M06,M07,-0.007300000,0.014000000,15.7889
106,M01,M03,0.006800000,-0.014200000,15.7442
107,M04,M11,0.010200000,-0.010300000,14.4959
108,M08,M15,-0.009000000,0.011100000,14.2902
109,M06,M13,0.009400000,0.010700000,14.2425
110,M07,M14,0.005200000,0.013200000,14.1873
111,M01,M09,-0.010500000,-0.009500000,14.1598
112,M03,M10,-0.004800000,-0.012300000,13.2034
113,M05,M12,0.012200000,-0.003900000,12.8082
114,M02,M03,0.007600000,-0.006600000,10.0658
115,M02,M09,-0.009700000,-0.001900000,9.8843
116,M07,M08,-0.009800000,0.000600000,9.8184
117,M03,M04,0.009000000,-0.000500000,9.0139
118,M05,M06,0.000300000,0.007900000,7.9057
119,M01,M02,-0.000800000,-0.007600000,7.6420
